,001
626,correlating
628,correlation analyses
629,correlations
630,correspond
631,corresponded
632,correspondence
633,corresponding
634,cortex acc
635,cortex amygdala
636,cortex anterior
637,cortex ba
638,cortex bilaterally
639,cortex cerebellum
640,cortex dacc
641,cortex dlpfc
642,cortex dmpfc
643,cortex dorsal
644,cortex dorsolateral
645,cortex frontal
646,cortex hippocampus
647,cortex inferior
648,cortex insula
649,cortex involved
650,cortex lateral
652,cortex medial
653,cortex middle
654,cortex mpfc
655,cortex ofc
656,cortex parietal
657,cortex pcc
658,cortex pfc
659,cortex posterior
660,cortex ppc
661,cortex precuneus
662,cortex suggest
663,cortex superior
664,cortex supplementary
665,cortex thalamus
666,cortex ventral
667,cortex vlpfc
668,cortex vmpfc
669,cortical
670,cortical involved
672,cortical networks
673,cortical subcortical
674,cortical thickness
675,cortices
676,cortico
678,costs
679,coupled
680,coupling
682,courses
683,covariance
684,covaried
685,covert
686,craving
687,created
688,criteria
690,critical role
691,critically
692,cross
693,cross modal
694,cross sectional
695,crossover
697,crucial role
698,crucially
699,crus
701,cued
702,cues
703,cuneus
705,current functional
706,currently
707,dacc
708,daily
709,daily life
710,damage
712,datasets
713,date
715,days
716,deactivated
718,deactivations
719,debate
720,debated
722,decision making
723,decision task
724,decisions
726,declines
727,decoding
728,decreases
729,decreasing
730,deep
731,default
732,default mode
733,default network
734,deficient
736,deficit hyperactivity
737,deficits
738,define
739,defined
741,degrees
742,delay
743,delayed
744,delivered
746,demanding
747,demands
748,dementia
750,demonstrated
751,demonstrates
752,demonstrating
753,density
755,depended
756,dependence
757,depending
758,depends
759,depicting
760,depressed
761,depression
762,depressive
763,depressive disorder
764,deprivation
765,depth
766,derived
767,described
768,describing
770,designed
771,designs
772,despite
773,detailed
774,details
775,detect
776,detected
777,detecting
778,detection
779,detection task
780,determine
781,determined
782,determining
783,develop
784,developed
785,developing
786,development
787,developmental
788,diagnosed
789,diagnosis
790,diagnostic
791,did
792,did differ
794,differed
795,difference
797,differentially
798,differentiate
799,differentiated
800,differentiation
801,differently
802,differing
803,differs
804,difficult
805,difficulties
806,difficulty
807,diffusion
808,diffusion tensor
809,digit
811,dimensional
812,dimensions
813,diminished
815,direct evidence
816,directed
818,directions
819,directly
820,disability
821,discrete
822,discriminate
823,discriminated
824,discrimination
825,discrimination task
826,discriminative
827,discuss
828,discussed
829,discussion
831,disease ad
832,disease pd
833,diseases
834,disentangle
835,disgust
837,disorder adhd
838,disorder mdd
839,disorder ocd
840,disorder ptsd
841,disorders
843,displayed
844,displays
845,disrupted
846,disruption
847,dissociable
848,dissociate
849,dissociated
850,dissociation
851,distance
852,distinction
853,distinguish
854,distinguished
855,distraction
857,distractors
858,distress
859,distributed
860,distributed network
861,distribution
862,disturbances
863,disturbed
864,divergent
865,diverse
866,divided
867,dlpfc
868,dmn
869,dmpfc
870,documented
871,does
873,domain general
874,domains
875,dominance
876,dominant
877,dopamine
878,dopaminergic
879,dorsal
880,dorsal anterior
881,dorsal attention
882,dorsal medial
883,dorsal premotor
884,dorsal striatum
885,dorsal ventral
886,dorsolateral
887,dorsolateral pfc
888,dorsolateral prefrontal
889,dorsomedial
890,dorsomedial prefrontal
891,dose
892,dot
893,double
894,double blind
895,drive
896,driven
897,driving
899,drugs
900,dti
901,dual
902,duration
904,dynamic causal
905,dynamically
906,dynamics
908,dysfunctional
909,dysfunctions
910,dyslexia
911,dysregulation
912,earlier
913,early
915,early stages
916,early visual
917,easy
918,eating
919,echo
920,economic
921,education
922,eeg
925,effective connectivity
926,effectively
927,effects
928,efficacy
929,efficiency
930,efficient
931,effort
932,effortful
933,eighteen
934,elderly
935,electrical
936,electroencephalography
937,electroencephalography eeg
938,electrophysiological
939,elements
940,elevated
942,elicited
943,elicits
944,elucidate
945,elucidated
946,elusive
947,embedded
948,emerge
949,emerged
950,emergence
951,emerging
952,emission
953,emission tomography
955,emotion regulation
957,emotional faces
958,emotional information
959,emotional responses
960,emotional stimuli
961,emotional valence
962,emotionally
963,emotions
964,empathic
965,empathy
966,emphasize
967,empirical
968,employed
969,employing
971,enabled
972,enables
973,encode
974,encoded
975,encoding
976,encoding retrieval
977,encompassing
978,end
979,endogenous
981,engaged
982,engagement
983,engages
984,engaging
985,english
987,enhancement
988,enhances
989,enhancing
990,entire
992,environmental
993,environments
994,epilepsy
996,episodes
997,episodic
998,episodic memory
1000,equally
1001,equivalent
1002,erp
1004,errors
1005,especially
1006,essential
1007,establish
1008,established
1010,estimated
1011,estimates
1012,estimation
1014,et al
1015,evaluate
1016,evaluated
1017,evaluating
1019,evaluations
1021,event design
1022,event functional
1024,event potentials
1025,events
1026,everyday
1027,everyday life
1028,evidence
1029,evidence suggests
1030,evidenced
1031,evident
1032,evoke
1033,evoked
1034,evolution
1035,exact
1036,examination
1037,examining
1038,example
1039,excessive
1040,exclusively
1041,executed
1042,execution
1043,executive
1044,executive control
1046,executive functions
1047,exert
1048,exhibit
1049,exhibited
1050,exhibited greater
1051,exhibiting
1053,existence
1054,existing
1055,exists
1056,expectancy
1058,expectations
1059,expected
1061,experienced
1062,experiences
1063,experiencing
1066,experimental conditions
1067,experimentally
1068,experiments
1069,expertise
1070,explain
1071,explained
1072,explanation
1074,explicitly
1075,exploration
1076,exploratory
1077,explore
1078,explored
1079,exploring
1080,exposed
1081,exposure
1082,expressed
1084,expressions
1086,extended
1087,extending
1088,extends
1089,extension
1091,extensively
1092,extent
1094,externally
1095,extinction
1096,extra
1097,extract
1098,extracted
1099,extrastriate
1102,eye fields
1104,eye movements
1105,eyes
1108,face ffa
1109,face recognition
1110,faces
1111,facial
1113,facial expressions
1115,facilitated
1116,facilitates
1117,facilitation
1118,fact
1120,factorial
1121,factorial design
1122,factors
1123,failed
1124,failure
1125,false
1126,familiar
1127,familiarity
1128,family
1129,far
1130,fasciculus
1131,fashion
1132,fast
1133,faster
1135,fear
1136,fearful
1137,fearful faces
1139,features
1140,feedback
1142,feelings
1144,females
1145,fewer
1146,ffa
1147,fiber
1149,fields
1151,finally
1152,fine
1153,finger
1154,finger movements
1155,finger tapping
1156,fixation
1157,fixed
1158,flexibility
1159,flexible
1160,flexibly
1161,flow
1163,fluctuations
1164,fluency
1165,focal
1166,foci
1167,focus
1168,focused
1169,focusing
1170,follow
1171,followed
1172,following
1173,food
1174,foot
1175,force
1177,formation
1178,formed
1179,forms
1180,forward
1181,fourteen
1182,fractional
1183,fractional anisotropy
1184,framework
1185,free
1186,frequencies
1187,frequency
1188,frequency fluctuations
1190,frequently
1191,frontal
1192,frontal cortex
1193,frontal cortices
1194,frontal eye
1195,frontal gyri
1196,frontal gyrus
1198,frontal lobes
1199,frontal operculum
1200,frontal parietal
1201,frontal temporal
1202,fronto
1203,fronto parietal
1204,fronto striatal
1205,fronto temporal
1206,frontoparietal
1207,frontoparietal network
1208,frontopolar
1209,frontotemporal
1210,fully
1212,functional abnormalities
1213,functional connections
1214,functional connectivity
1215,functional coupling
1216,functional magnetic
1218,functional networks
1219,functional neuroanatomy
1220,functional organization
1221,functional role
1222,functional structural
1223,functionally
1224,functionally connected
1225,functioning
1226,functions
1227,fundamental
1228,furthermore
1229,fusiform
1230,fusiform face
1231,fusiform gyri
1232,fusiform gyrus
1233,future
1235,gains
1236,gambling
1237,game
1238,gamma
1239,ganglia
1240,gap
1241,gaze
1242,gender
1245,general linear
1246,generalized
1247,generally
1248,generate
1249,generated
1250,generating
1251,generation
1252,genes
1253,genetic
1254,genetic risk
1255,genotype
1256,german
1257,gestures
1258,given
1259,global
1260,globus
1261,globus pallidus
1263,gm volume
1265,goal directed
1266,goals
1267,good
1268,gradient
1269,granger
1270,graph
1271,grasping
1272,gray
1273,gray matter
1274,great
1275,greater
1276,greater extent
1277,greatest
1278,grey
1279,grey matter
1281,group comparisons
1282,group healthy
1283,group level
1284,groups
1285,growing
1286,guide
1287,guided
1288,gyri
1289,gyrus
1290,gyrus anterior
1291,gyrus ba
1292,gyrus cerebellum
1293,gyrus ifg
1294,gyrus inferior
1295,gyrus insula
1296,gyrus medial
1297,gyrus mfg
1298,gyrus middle
1299,gyrus posterior
1300,gyrus precuneus
1301,gyrus stg
1302,gyrus superior
1303,half
1305,hand movements
1306,handed
1307,handedness
1308,hands
1309,happy
1310,happy faces
1311,having
1313,hcs
1314,head
1315,health
1316,healthy
1317,healthy adults
1319,healthy controls
1320,healthy handed
1321,healthy human
1322,healthy individuals
1323,healthy male
1324,healthy volunteers
1325,healthy young
1326,heard
1327,hearing
1328,heart
1329,heart rate
1330,heightened
1331,held
1332,help
1334,hemispheres
1335,hemispheric
1336,hemodynamic
1338,hemodynamic responses
1339,heschl
1340,heschl gyrus
1341,heterogeneity
1342,heterogeneous
1343,hierarchical
1344,hierarchy
1346,high frequency
1347,high functioning
1348,high level
1349,high low
1350,high resolution
1351,high risk
1352,higher
1354,higher levels
1355,higher order
1356,highest
1358,highlighted
1359,highlights
1360,highly
1361,hippocampal
1362,hippocampus
1363,history
1364,hoc
1365,homogeneity
1366,homogeneity reho
1368,hubs
1369,hum
1370,hum mapp
1372,humans
1373,hyperactivation
1374,hyperactivity
1375,hyperactivity disorder
1376,hypoactivation
1377,hypothalamus
1378,hypotheses
1379,hypothesize
1380,hypothesized
1382,ica
1383,idea
1384,identical
1385,identification
1386,identified
1387,identify
1388,identifying
1389,identity
1390,ifg
1392,iii
1393,illness
1394,illusion
1395,illustrate
1397,imagery
1398,images
1399,images acquired
1400,imagine
1401,imagined
1402,imitation
1404,immediately
1406,impacts
1407,impaired
1409,impairments
1410,implementation
1411,implemented
1412,implicate
1413,implicated
1414,implications
1415,implications understanding
1416,implicit
1417,imply
1418,importance
1420,important role
1421,importantly
1423,improved
1425,improvements
1426,improves
1427,impulsive
1428,impulsivity
1429,incentive
1430,incentive delay
1431,incidental
1433,included
1434,includes
1435,incongruent
1436,inconsistent
1437,incorrect
1438,increases
1440,increasingly
1442,independent component
1443,independently
1444,index
1445,index finger
1446,indexed
1448,indicated
1449,indicates
1450,indicating
1451,indices
1452,indirect
1454,individual variability
1455,individually
1456,individuals
1458,induced
1459,induces
1460,inducing
1461,induction
1462,infer
1464,inferences
1465,inferior
1466,inferior frontal
1467,inferior middle
1468,inferior occipital
1469,inferior parietal
1470,inferior prefrontal
1471,inferior superior
1472,inferior temporal
1474,influenced
1475,influences
1476,inform
1477,information
1478,inhibit
1479,inhibition
1480,inhibitory
1481,inhibitory control
1483,initially
1484,initiation
1485,injury
1487,inputs
1489,insights
1490,instead
1491,instructed
1493,instructions
1494,insula
1495,insula anterior
1496,insula inferior
1497,insular
1498,insular cortex
1499,intact
1500,integrate
1501,integrated
1502,integrating
1503,integration
1504,integrative
1505,integrity
1506,intelligence
1507,intense
1508,intensity
1510,intentional
1511,intentions
1512,inter
1513,inter individual
1515,interacting
1517,interactions
1518,interactive
1519,interacts
1520,interestingly
1521,interference
1522,interhemispheric
1523,intermediate
1525,internally
1526,interoceptive
1527,interpersonal
1528,interplay
1529,interpret
1530,interpretation
1531,interpreted
1533,intervals
1535,interventions
1536,intra
1537,intraparietal
1538,intraparietal sulcus
1539,intrinsic
1540,intrinsic functional
1541,introduced
1542,introduction
1543,invariant
1544,invasive
1545,inventory
1547,inversely
1548,investigates
1549,investigating
1551,investigations
1553,involved
1554,involved cognitive
1555,involvement
1556,involves
1557,involving
1558,ipl
1559,ips
1560,ipsilateral
1562,irrelevant
1563,irrespective
1564,isolate
1565,isolated
1567,issues
1569,items
1571,joint
1572,judge
1573,judged
1575,judgment task
1576,judgments
1577,junction
1578,junction tpj
1579,just
1580,key
1581,key role
1582,kinds
1583,know
1584,knowledge
1585,known
1586,known involved
1587,labeling
1588,laboratory
1589,lack
1590,lacking
1592,language comprehension
1593,language network
1594,languages
1596,large sample
1597,large scale
1598,largely
1599,largely unknown
1600,larger
1601,late
1602,latencies
1603,latency
1604,later
1605,lateral
1606,lateral frontal
1607,lateral medial
1608,lateral occipital
1609,lateral orbitofrontal
1610,lateral parietal
1611,lateral prefrontal
1612,lateral temporal
1613,laterality
1614,lateralization
1615,lateralized
1617,leading
1618,leads
1619,learn
1620,learned
1621,learning
1622,learning task
1623,led
1624,length
1626,lesions
1627,lesser
1629,letters
1631,level bold
1632,level signal
1633,levels
1634,lexical
1635,lexical decision
1636,life
1637,light
1639,likelihood
1640,likely
1641,limb
1642,limbic
1643,limitations
1644,limited
1645,line
1647,linear model
1648,linearly
1649,lingual
1650,lingual gyrus
1651,linguistic
1653,linked
1654,linking
1655,links
1656,list
1657,listened
1658,listening
1659,literature
1660,little
1661,little known
1662,load
1664,lobe mtl
1665,lobes
1667,lobule ipl
1668,lobules
1669,local
1670,localization
1671,localize
1672,localized
1673,located
1675,locations
1676,locus
1677,long
1678,long term
1679,longer
1680,longitudinal
1681,loop
1682,loss
1683,losses
1684,low
1685,low frequency
1686,low high
1687,low level
1688,lower
1690,machine
1691,magnetic
1692,magnetic resonance
1693,magnetic stimulation
1694,magnetoencephalography
1695,magnitude
1697,main effect
1698,mainly
1699,maintain
1700,maintained
1701,maintaining
1702,maintenance
1703,major
1704,major depression
1705,major depressive
1706,majority
1707,make
1708,making
1710,male female
1711,males
1712,manifest
1713,manipulated
1714,manipulating
1716,manipulations
1717,manner
1718,manual
1720,mapp
1721,mapped
1722,mapping
1723,maps
1724,marked
1726,markers
1727,masked
1728,mass
1729,match
1730,matching
1731,matching task
1733,materials
1734,matrix
1735,matter
1736,matter density
1737,matter gm
1739,matter volumes
1740,maturation
1741,maximal
1742,maximum
1743,mci
1744,mdd
1746,mean age
1747,meaning
1748,meaningful
1749,means
1752,measurements
1753,measures
1754,measuring
1756,mechanisms
1757,mechanisms involved
1758,mechanisms underlying
1759,medial
1760,medial frontal
1761,medial lateral
1762,medial orbitofrontal
1763,medial pfc
1764,medial prefrontal
1765,medial superior
1766,medial temporal
1767,median
1769,mediated
1770,mediates
1771,mediating
1772,medication
1773,meg
1774,memories
1775,memory
1776,memory encoding
1777,memory load
1778,memory performance
1779,memory processes
1780,memory retrieval
1782,memory tasks
1783,memory test
1784,memory wm
1785,men
1786,men women
1787,mental
1788,mental imagery
1790,mental states
1791,mentalizing
1792,mesial
1793,mesolimbic
1794,met
1795,metabolic
1796,metabolism
1798,methodological
1799,methodology
1800,methodology principal
1801,methods
1802,methods functional
1803,mfg
1805,mid
1806,midbrain
1807,middle
1808,middle cingulate
1809,middle frontal
1810,middle inferior
1811,middle occipital
1812,middle superior
1813,middle temporal
1814,midline
1815,mild
1816,mild cognitive
1817,min
1818,mind
1819,mind tom
1820,minimal
1821,mirror
1822,mirror neuron
1823,mixed
1825,mnemonic
1826,modal
1827,modalities
1828,modality
1829,mode
1830,mode network
1832,modeling
1833,models
1834,moderate
1835,modified
1837,modulated
1838,modulates
1839,modulating
1841,modulations
1842,modulatory
1843,monetary
1844,monetary incentive
1845,monetary reward
1846,money
1847,monitor
1848,monitored
1849,monitoring
1851,monkeys
1852,months
1853,mood
1854,moral
1855,morphological
1856,morphology
1857,morphometry
1858,morphometry vbm
1859,motion
1860,motivation
1861,motivational
1862,motor
1863,motor control
1864,motor cortex
1865,motor function
1866,motor imagery
1867,motor network
1868,motor performance
1869,motor pre
1870,motor premotor
1872,motor responses
1873,motor sma
1874,motor task
1876,movements
1877,moving
1878,mpfc
1882,mtg
1883,mtl
1884,multi
1885,multimodal
1886,multiple
1887,multiple comparisons
1888,multiple sclerosis
1889,multisensory
1890,multivariate
1891,multivariate pattern
1892,muscle
1893,music
1894,musical
1895,musicians
1896,naive
1897,names
1898,naming
1899,native
1900,natural
1901,naturalistic
1902,nature
1903,navigation
1904,near
1905,necessary
1907,needed
1908,needs
1910,negative affect
1912,negative correlations
1913,negative emotional
1914,negative emotions
1915,negative feedback
1916,negative neutral
1917,negative positive
1918,negatively
1919,negatively correlated
1920,negativity
1921,neocortical
1922,nerve
1923,nervous
1925,network connectivity
1926,network dmn
1927,network involved
1928,networks
1929,networks involved
1930,neuro
1931,neuroanatomical
1932,neuroanatomy
1933,neurobiological
1934,neurobiology
1935,neurocognitive
1936,neurodegenerative
1937,neurodevelopmental
1938,neurofunctional
1939,neurological
1941,neuronal
1942,neurons
1943,neurophysiological
1944,neuropsychiatric
1945,neuropsychological
1946,neuroscience
1947,neutral
1948,neutral faces
1949,neutral pictures
1950,neutral stimuli
1952,new insights
1953,newly
1954,nineteen
1955,nociceptive
1957,nodes
1958,nogo
1959,noise
1960,non
1962,normal controls
1963,normalized
1964,normally
1965,notably
1966,noted
1967,notion
1968,nouns
1969,novel
1970,novelty
1971,noxious
1972,nuclei
1973,nucleus
1974,nucleus accumbens
1976,numbers
1977,numerical
1978,numerous
1980,object recognition
1982,objectives
1983,objects
1985,observations
1987,observers
1988,observing
1989,obsessive
1990,obsessive compulsive
1991,obtain
1992,obtained
1993,occipital
1994,occipital cortex
1995,occipital gyrus
1996,occipital lobe
1997,occipital parietal
1998,occipital temporal
1999,occipito
2000,occipito temporal
2001,occipitotemporal
2002,occipitotemporal cortex
2004,occurred
2005,occurrence
2006,occurring
2007,occurs
2008,ocd
2009,oddball
2010,ofc
2012,offers
2013,old
2014,older
2015,older adults
2016,olfactory
2017,ones
2018,ongoing
2019,online
2020,onset
2021,open
2023,operations
2024,opercular
2025,opercularis
2026,operculum
2027,opportunity
2028,opposed
2029,opposite
2030,optimal
2031,optimized
2032,options
2033,oral
2034,orbital
2035,orbitofrontal
2036,orbitofrontal cortex
2037,order
2038,organization
2039,organized
2040,orientation
2041,oriented
2042,orienting
2043,origin
2044,original
2045,orthographic
2046,oscillations
2048,outcomes
2049,output
2050,outside
2051,outside scanner
2052,overall
2053,overcome
2054,overlap
2055,overlapped
2056,overlapping
2057,overt
2058,oxygen
2059,oxygen level
2060,oxygenation
2061,oxygenation level
2062,paced
2063,pain
2064,painful
2066,paired
2067,pairs
2068,pallidus
2069,paper
2071,paradigms
2072,parahippocampal
2073,parahippocampal cortex
2074,parahippocampal gyrus
2075,parahippocampus
2076,paralimbic
2077,parallel
2079,parameters
2080,parametric
2081,parametric mapping
2082,parametrically
2083,parietal
2084,parietal cortex
2085,parietal cortices
2086,parietal frontal
2087,parietal junction
2089,parietal lobes
2091,parietal lobules
2092,parietal network
2093,parietal occipital
2094,parietal temporal
2095,parieto
2096,parieto occipital
2097,parkinson
2098,parkinson disease
2099,pars
2100,pars opercularis
2102,partially
2103,participant
2104,participate
2105,participated
2107,particularly
2108,partly
2109,partner
2110,parts
2112,passive viewing
2113,passively
2114,past
2115,pathological
2116,pathology
2117,pathophysiological
2118,pathophysiology
2120,pathways
2121,patient
2123,patient groups
2125,patterns
2126,pcc
2128,peak
2129,people
2130,perceive
2131,perceived
2132,perceiving
2133,percept
2134,perception
2135,perceptual
2136,perform
2138,performance task
2139,performances
2140,performing
2141,perfusion
2142,periaqueductal
2144,periodicals
2145,periods
2146,peripheral
2147,persistent
2149,personal
2150,personality
2151,personality traits
2152,persons
2153,perspective
2154,pet
2155,pfc
2156,pharmacological
2158,phases
2159,phenomena
2160,phenomenon
2161,phenotype
2162,phonological
2163,photographs
2164,physical
2165,physiological
2167,pictures
2168,pitch
2169,place
2170,placebo
2171,placebo controlled
2172,planning
2173,planum
2174,planum temporale
2175,plasticity
2177,play important
2178,play role
2179,played
2180,playing
2181,plays
2182,plays important
2183,plays role
2184,pleasant
2186,pointing
2187,points
2188,pole
2189,polymorphism
2191,poorer
2192,poorly
2193,poorly understood
2195,populations
2197,portions
2198,position
2201,positive correlations
2202,positive negative
2203,positively
2204,positively correlated
2205,positron
2206,positron emission
2207,possibility
2208,possible
2209,possibly
2210,post
2211,post hoc
2212,postcentral
2213,postcentral gyrus
2214,posterior
2215,posterior anterior
2216,posterior cingulate
2217,posterior inferior
2218,posterior insula
2219,posterior middle
2220,posterior parietal
2221,posterior superior
2222,posterior temporal
2223,posttraumatic
2225,potentially
2226,potentials
2227,power
2228,powerful
2229,ppc
2230,ppi
2231,practice
2232,pre
2233,pre post
2234,pre sma
2235,pre supplementary
2236,preceded
2237,preceding
2238,precentral
2239,precentral gyrus
2240,precise
2241,precuneus
2242,precuneus posterior
2244,predicted
2245,predicting
2247,prediction error
2248,predictions
2249,predictive
2250,predictors
2251,predicts
2252,predominantly
2254,preferences
2256,preferentially
2257,prefrontal
2258,prefrontal cortex
2259,prefrontal cortical
2260,prefrontal cortices
2261,prefrontal parietal
2262,preliminary
2263,premotor
2264,premotor cortex
2265,preparation
2266,preparatory
2267,presence
2269,presentations
2270,presented
2271,presenting
2272,preserved
2273,press
2274,pressure
2275,presumably
2276,previous
2277,previous functional
2278,previous reports
2279,previous research
2280,previous shown
2281,previous work
2282,primarily
2283,primary
2284,primary auditory
2285,primary motor
2286,primary secondary
2287,primary sensorimotor
2288,primary somatosensory
2289,primary visual
2290,primates
2291,prime
2292,priming
2293,principal
2294,principle
2295,prior
2296,priori
2297,probabilistic
2298,probability
2299,probably
2300,probe
2302,problems
2304,procedures
2305,process
2306,processed
2307,processes
2308,processes involved
2309,processes underlying
2310,produce
2311,produced
2312,producing
2313,production
2315,profiles
2316,progression
2317,progressive
2318,prolonged
2319,prominent
2320,promising
2321,pronounced
2322,proper
2323,properties
2324,proportion
2325,propose
2326,proposed
2327,prospective
2328,protocol
2330,provide evidence
2331,provide new
2332,provide novel
2333,provided
2334,provides
2335,provides evidence
2336,providing
2337,pseudowords
2338,psts
2339,psychiatric
2340,psychiatric disorders
2341,psychological
2342,psychopathology
2343,psychophysical
2344,psychophysiological
2345,psychophysiological interaction
2346,psychosis
2347,psychotic
2348,ptsd
2349,published
