,text,Does the sentence describe a personal reflection or thought?,Does the sentence contain a proper noun?,Does the sentence describe a physical action?,Does the sentence describe a personal or social interaction that leads to a change or revelation?,Does the sentence involve the mention of a specific object or item?,Does the sentence involve a description of physical environment or setting?,Does the sentence describe a relationship between people?,Does the sentence mention a specific location?,Is time mentioned in the input?,Is the sentence abstract rather than concrete?,Does the sentence express the narrator's opinion or judgment about an event or character?,Is the input related to a specific industry or profession?,Does the sentence include dialogue?,Does the sentence describe a visual experience or scene?,Does the input involve planning or organizing?,Does the sentence involve spatial reasoning?,Does the sentence involve an expression of personal values or beliefs?,Does the sentence contain a negation?,Does the sentence describe a sensory experience?,Does the sentence include technical or specialized terminology?,Does the input contain a number?,Does the sentence contain a cultural reference?,Does the text describe a mode of communication?,Does the input include a comparison or metaphor?,Does the sentence express a sense of belonging or connection to a place or community?,Does the sentence describe a specific sensation or feeling?,Does the text include a planning or decision-making process?,Does the sentence include a personal anecdote or story?,Does the sentence involve a discussion about personal or social values?,Does the text describe a journey?,Does the input contain a measurement?,Does the sentence describe a physical sensation?,Does the sentence include a direct speech quotation?,"Is the sentence reflective, involving self-analysis or introspection?",Does the input describe a specific texture or sensation?
20,his foot hit the brake at the red light i flung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,foot hit the brake at the red light i flung open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,hit the brake at the red light i flung open the,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,the brake at the red light i flung open the door,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,brake at the red light i flung open the door and,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,at the red light i flung open the door and i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,the red light i flung open the door and i ran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,red light i flung open the door and i ran i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,light i flung open the door and i ran i had,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,i flung open the door and i ran i had no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,flung open the door and i ran i had no shoes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,open the door and i ran i had no shoes on,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,the door and i ran i had no shoes on i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,door and i ran i had no shoes on i was,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,and i ran i had no shoes on i was crying,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,i ran i had no shoes on i was crying i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,ran i had no shoes on i was crying i had,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,i had no shoes on i was crying i had no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,had no shoes on i was crying i had no wallet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,no shoes on i was crying i had no wallet but,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,shoes on i was crying i had no wallet but i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,on i was crying i had no wallet but i was,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,i was crying i had no wallet but i was ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,was crying i had no wallet but i was ok because,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,crying i had no wallet but i was ok because i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,i had no wallet but i was ok because i had,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,had no wallet but i was ok because i had my,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,no wallet but i was ok because i had my cigarettes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,wallet but i was ok because i had my cigarettes and,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,but i was ok because i had my cigarettes and i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,i was ok because i had my cigarettes and i didn't,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,was ok because i had my cigarettes and i didn't want,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,ok because i had my cigarettes and i didn't want any,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,because i had my cigarettes and i didn't want any part,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,i had my cigarettes and i didn't want any part of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,had my cigarettes and i didn't want any part of freedom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,my cigarettes and i didn't want any part of freedom if,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,cigarettes and i didn't want any part of freedom if i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,and i didn't want any part of freedom if i didn't,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,i didn't want any part of freedom if i didn't have,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,didn't want any part of freedom if i didn't have my,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,want any part of freedom if i didn't have my cigarettes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,any part of freedom if i didn't have my cigarettes when,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,part of freedom if i didn't have my cigarettes when you,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,of freedom if i didn't have my cigarettes when you live,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,freedom if i didn't have my cigarettes when you live with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,if i didn't have my cigarettes when you live with someone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,i didn't have my cigarettes when you live with someone who,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,didn't have my cigarettes when you live with someone who has,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,have my cigarettes when you live with someone who has a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,my cigarettes when you live with someone who has a temper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,cigarettes when you live with someone who has a temper a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,when you live with someone who has a temper a very,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,you live with someone who has a temper a very bad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,live with someone who has a temper a very bad temper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,with someone who has a temper a very bad temper a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,someone who has a temper a very bad temper a very,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,who has a temper a very bad temper a very very,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,has a temper a very bad temper a very very bad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,a temper a very bad temper a very very bad temper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,temper a very bad temper a very very bad temper you,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,a very bad temper a very very bad temper you learn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,very bad temper a very very bad temper you learn to,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,bad temper a very very bad temper you learn to play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,temper a very very bad temper you learn to play around,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,a very very bad temper you learn to play around that,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,very very bad temper you learn to play around that you,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,very bad temper you learn to play around that you learn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,bad temper you learn to play around that you learn this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,temper you learn to play around that you learn this time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,you learn to play around that you learn this time i'll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,learn to play around that you learn this time i'll play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,to play around that you learn this time i'll play possum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,play around that you learn this time i'll play possum and,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,around that you learn this time i'll play possum and next,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,that you learn this time i'll play possum and next time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,you learn this time i'll play possum and next time i'll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,learn this time i'll play possum and next time i'll just,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,this time i'll play possum and next time i'll just be,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,time i'll play possum and next time i'll just be real,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,i'll play possum and next time i'll just be real nice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,play possum and next time i'll just be real nice or,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,possum and next time i'll just be real nice or i'll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,and next time i'll just be real nice or i'll say,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,next time i'll just be real nice or i'll say yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,time i'll just be real nice or i'll say yes to,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,i'll just be real nice or i'll say yes to everything,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,just be real nice or i'll say yes to everything or,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,be real nice or i'll say yes to everything or you,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,real nice or i'll say yes to everything or you make,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,nice or i'll say yes to everything or you make yourself,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,or i'll say yes to everything or you make yourself scarce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,i'll say yes to everything or you make yourself scarce or,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,say yes to everything or you make yourself scarce or you,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,yes to everything or you make yourself scarce or you run,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,to everything or you make yourself scarce or you run and,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,everything or you make yourself scarce or you run and this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,or you make yourself scarce or you run and this was,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,you make yourself scarce or you run and this was one,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,make yourself scarce or you run and this was one of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,yourself scarce or you run and this was one of the,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,scarce or you run and this was one of the times,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,or you run and this was one of the times when,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,you run and this was one of the times when you,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,run and this was one of the times when you just,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,and this was one of the times when you just run,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,this was one of the times when you just run and,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,was one of the times when you just run and as,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,one of the times when you just run and as i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,of the times when you just run and as i was,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,the times when you just run and as i was running,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,times when you just run and as i was running i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,when you just run and as i was running i thought,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,you just run and as i was running i thought this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,just run and as i was running i thought this was,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,run and as i was running i thought this was a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,and as i was running i thought this was a great,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,as i was running i thought this was a great place,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,i was running i thought this was a great place to,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,was running i thought this was a great place to jump,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,running i thought this was a great place to jump out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,i thought this was a great place to jump out because,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,thought this was a great place to jump out because there,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,this was a great place to jump out because there were,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,was a great place to jump out because there were big,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,a great place to jump out because there were big lawns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,great place to jump out because there were big lawns and,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,place to jump out because there were big lawns and there,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,to jump out because there were big lawns and there were,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,jump out because there were big lawns and there were cul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,out because there were big lawns and there were cul de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,because there were big lawns and there were cul de sacs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,there were big lawns and there were cul de sacs and,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,were big lawns and there were cul de sacs and sometimes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,big lawns and there were cul de sacs and sometimes he,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,lawns and there were cul de sacs and sometimes he would,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,and there were cul de sacs and sometimes he would come,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,there were cul de sacs and sometimes he would come after,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,were cul de sacs and sometimes he would come after me,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,cul de sacs and sometimes he would come after me and,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,de sacs and sometimes he would come after me and drive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,sacs and sometimes he would come after me and drive and,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,and sometimes he would come after me and drive and yell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,sometimes he would come after me and drive and yell stuff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,he would come after me and drive and yell stuff at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,would come after me and drive and yell stuff at me,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,come after me and drive and yell stuff at me to,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,after me and drive and yell stuff at me to get,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,me and drive and yell stuff at me to get back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,and drive and yell stuff at me to get back in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,drive and yell stuff at me to get back in get,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,and yell stuff at me to get back in get back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,yell stuff at me to get back in get back in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,stuff at me to get back in get back in and,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,at me to get back in get back in and i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,me to get back in get back in and i was,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,to get back in get back in and i was like,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,get back in get back in and i was like no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,back in get back in and i was like no i'm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,in get back in and i was like no i'm out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,get back in and i was like no i'm out of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,back in and i was like no i'm out of here,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,in and i was like no i'm out of here this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,and i was like no i'm out of here this is,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,i was like no i'm out of here this is great,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,was like no i'm out of here this is great and,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,like no i'm out of here this is great and i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,no i'm out of here this is great and i went,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,i'm out of here this is great and i went and,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,out of here this is great and i went and hid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,of here this is great and i went and hid behind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,here this is great and i went and hid behind a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,this is great and i went and hid behind a cabana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,is great and i went and hid behind a cabana and,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,great and i went and hid behind a cabana and he,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,and i went and hid behind a cabana and he left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,i went and hid behind a cabana and he left and,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,went and hid behind a cabana and he left and i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,and hid behind a cabana and he left and i had,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,hid behind a cabana and he left and i had my,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,behind a cabana and he left and i had my cigarettes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,a cabana and he left and i had my cigarettes and,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,cabana and he left and i had my cigarettes and uh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,and he left and i had my cigarettes and uh i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,he left and i had my cigarettes and uh i started,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,left and i had my cigarettes and uh i started to,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,and i had my cigarettes and uh i started to walk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,i had my cigarettes and uh i started to walk in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,had my cigarettes and uh i started to walk in this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,my cigarettes and uh i started to walk in this beautiful,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,cigarettes and uh i started to walk in this beautiful neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,and uh i started to walk in this beautiful neighborhood it,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,uh i started to walk in this beautiful neighborhood it was,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,i started to walk in this beautiful neighborhood it was ten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,started to walk in this beautiful neighborhood it was ten thirty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,to walk in this beautiful neighborhood it was ten thirty at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,walk in this beautiful neighborhood it was ten thirty at night,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,in this beautiful neighborhood it was ten thirty at night and,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,this beautiful neighborhood it was ten thirty at night and it,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,beautiful neighborhood it was ten thirty at night and it was,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,neighborhood it was ten thirty at night and it was silent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,it was ten thirty at night and it was silent and,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,was ten thirty at night and it was silent and lovely,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,ten thirty at night and it was silent and lovely and,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,thirty at night and it was silent and lovely and there,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,at night and it was silent and lovely and there was,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,night and it was silent and lovely and there was no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,and it was silent and lovely and there was no sound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,it was silent and lovely and there was no sound except,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,was silent and lovely and there was no sound except for,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,silent and lovely and there was no sound except for sprinklers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,and lovely and there was no sound except for sprinklers ch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,lovely and there was no sound except for sprinklers ch ch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,and there was no sound except for sprinklers ch ch ch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,there was no sound except for sprinklers ch ch ch ch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,was no sound except for sprinklers ch ch ch ch {ig},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,no sound except for sprinklers ch ch ch ch {ig} ch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,sound except for sprinklers ch ch ch ch {ig} ch ch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,except for sprinklers ch ch ch ch {ig} ch ch ch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
